tag,coord_mode,op_mode,x_in,y_in,z_in,x_out,y_out,z_out
1,0,0,134217728,0,-398232015,-132178401,-23308161,-1
1,0,0,134217728,0,-386519309,-129644593,-34737301,-1
1,0,0,134217728,0,-374806602,-126123765,-45904181,0
1,0,0,134217728,0,-363093896,-121641842,-56724422,0
1,0,0,134217728,0,-351381190,-116235652,-67109401,0
1,0,0,134217728,0,-339668483,-109945279,-76983337,-1
1,0,0,134217728,0,-327955777,-102818072,-86271913,-1
1,0,0,134217728,0,-316243071,-94907343,-94905186,-1
1,0,0,134217728,0,-304530364,-86271911,-102818074,0
1,0,0,134217728,0,-292817658,-76983335,-109945281,0
1,0,0,134217728,0,-281104952,-67109389,-116235664,0
1,0,0,134217728,0,-269392245,-56724420,-121641842,-1
1,0,0,134217728,0,-257679539,-45904179,-126123765,-1
1,0,0,134217728,0,-245966833,-34737311,-129644583,-1
1,0,0,134217728,0,-234254126,-23308159,-132178403,0
1,0,0,134217728,0,-222541420,-11695857,-133707165,0
1,0,0,134217728,0,-210828714,-922,-134217732,0
1,0,0,134217728,0,-199116007,11695858,-133707162,-1
1,0,0,134217728,0,-187403301,23308160,-132178394,-1
1,0,0,134217728,0,-175690595,34737300,-129644586,-1
1,0,0,134217728,0,-163977888,45904182,-126123762,0
1,0,0,134217728,0,-152265182,56724421,-121641843,0
1,0,0,134217728,0,-140552476,67109401,-116235655,0
1,0,0,134217728,0,-128839769,76983337,-109945270,-1
1,0,0,134217728,0,-117127063,86271913,-102818067,-1
1,0,0,134217728,0,-105414357,94905186,-94907337,-1
1,0,0,134217728,0,-93701650,102818074,-86271917,0
1,0,0,134217728,0,-81988944,109945281,-76983347,0
1,0,0,134217728,0,-70276238,116235664,-67109399,0
1,0,0,134217728,0,-58563531,121641842,-56724418,-1
1,0,0,134217728,0,-46850825,126123765,-45904183,-1
1,0,0,134217728,0,-35138119,129644583,-34737307,-1
1,0,0,134217728,0,-23425412,132178403,-23308166,0
1,0,0,134217728,0,-11712706,133707165,-11695859,0
1,0,0,134217728,0,0,134217732,-925,0
1,0,0,134217728,0,11712706,133707163,11695860,0
1,0,0,134217728,0,23425412,132178395,23308167,0
1,0,0,134217728,0,35138119,129644585,34737308,-1
1,0,0,134217728,0,46850825,126123762,45904184,-1
1,0,0,134217728,0,58563531,121641843,56724421,-1
1,0,0,134217728,0,70276238,116235655,67109398,0
1,0,0,134217728,0,81988944,109945270,76983346,0
1,0,0,134217728,0,93701650,102818069,86271916,0
1,0,0,134217728,0,105414357,94907336,94905193,-1
1,0,0,134217728,0,117127063,86271916,102818069,-1
1,0,0,134217728,0,128839769,76983346,109945270,-1
1,0,0,134217728,0,140552476,67109398,116235655,0
1,0,0,134217728,0,152265182,56724421,121641843,0
1,0,0,134217728,0,163977888,45904184,126123762,0
1,0,0,134217728,0,175690595,34737308,129644585,-1
1,0,0,134217728,0,187403301,23308167,132178395,-1
1,0,0,134217728,0,199116007,11695860,133707163,-1
1,0,0,134217728,0,210828714,-925,134217720,0
1,0,0,134217728,0,222541420,-11695859,133707153,0
1,0,0,134217728,0,234254126,-23308166,132178391,0
1,0,0,134217728,0,245966833,-34737307,129644593,-1
1,0,0,134217728,0,257679539,-45904185,126123777,-1
1,0,0,134217728,0,269392245,-56724422,121641854,-1
1,0,0,134217728,0,281104952,-67109399,116235652,0
1,0,0,134217728,0,292817658,-76983347,109945269,0
1,0,0,134217728,0,304530364,-86271917,102818062,0
1,0,0,134217728,0,316243071,-94905193,94907343,-1
1,0,0,134217728,0,327955777,-102818069,86271923,-1
1,0,0,134217728,0,339668483,-109945270,76983347,-1
1,0,0,134217728,0,351381190,-116235655,67109389,0
1,0,0,134217728,0,363093896,-121641843,56724409,0
1,0,0,134217728,0,374806602,-126123762,45904170,0
1,0,0,134217728,0,386519309,-129644586,34737310,-1
1,0,0,134217728,0,398232015,-132178394,23308170,-1
2,0,1,-132178659,-23306663,0,134217733,0,-398233542
2,0,1,-129644369,-34738104,0,134217735,-1,-386518478
2,0,1,-126123408,-45905166,0,134217742,-1,-374805556
2,0,1,-121642572,-56722862,0,134217727,0,-363095606
2,0,1,-116235962,-67108864,0,134217734,0,-351381806
2,0,1,-109944726,-76984126,0,134217738,-1,-339667532
2,0,1,-102816744,-86273492,0,134217738,-1,-327953720
